"Influenza Hospitalization Rates (per 100,000 population) for the FluSurv-NET Network (downloaded on "Feb-14-2023)
Influenza Division - Centers for Disease Control and Prevention.
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,White,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Black,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Hispanic/Latino,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Asian/Pacific Islander,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,American Indian/Alaska Native,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Male,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Female,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,40,Overall,Overall,Overall,0,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Male,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,White,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Black,0,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Hispanic/Latino,0,0
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,Asian/Pacific Islander,0.1,0.1
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Overall,American Indian/Alaska Native,0.5,0.5
Entire Network,FluSurv-NET,2021-22,2021,41,Overall,Female,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,White,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,Black,0,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,Hispanic/Latino,0.1,0.1
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Female,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,Asian/Pacific Islander,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,American Indian/Alaska Native,1,0.5
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Male,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,42,Overall,Overall,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,White,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,Black,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,Hispanic/Latino,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,Asian/Pacific Islander,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Female,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Male,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,43,Overall,Overall,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Male,Overall,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Female,Overall,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,Asian/Pacific Islander,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,Hispanic/Latino,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,Black,0.1,0.1
Entire Network,FluSurv-NET,2021-22,2021,44,Overall,Overall,White,0.2,0
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,White,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,Hispanic/Latino,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,Black,0.2,0
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,Asian/Pacific Islander,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Female,Overall,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Male,Overall,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,45,Overall,Overall,Overall,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,Overall,0.3,0.1
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Male,Overall,0.3,0.1
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,Asian/Pacific Islander,0.1,0
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,Hispanic/Latino,0.2,0.1
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,Black,0.3,0.2
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Overall,White,0.3,0.1
Entire Network,FluSurv-NET,2021-22,2021,46,Overall,Female,Overall,0.3,0.1
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,Overall,0.4,0.2
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Female,Overall,0.5,0.1
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Male,Overall,0.4,0.2
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,American Indian/Alaska Native,1,0
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,White,0.4,0.1
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,Black,0.6,0.3
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,Hispanic/Latino,0.4,0.1
Entire Network,FluSurv-NET,2021-22,2021,47,Overall,Overall,Asian/Pacific Islander,0.3,0.1
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Female,Overall,0.7,0.2
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,American Indian/Alaska Native,1.5,0.5
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Male,Overall,0.7,0.3
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,Hispanic/Latino,0.6,0.2
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,Asian/Pacific Islander,0.3,0
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,White,0.6,0.2
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,Black,1.1,0.5
Entire Network,FluSurv-NET,2021-22,2021,48,Overall,Overall,Overall,0.7,0.3
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,White,0.9,0.4
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,Black,1.8,0.7
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,Hispanic/Latino,1,0.4
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,Asian/Pacific Islander,0.4,0
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,American Indian/Alaska Native,2.5,1
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Female,Overall,1.1,0.5
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Male,Overall,1.1,0.4
Entire Network,FluSurv-NET,2021-22,2021,49,Overall,Overall,Overall,1.1,0.4
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Male,Overall,1.7,0.6
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,Overall,1.7,0.6
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Female,Overall,1.7,0.6
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,White,1.4,0.5
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,Black,2.9,1.1
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,Hispanic/Latino,1.5,0.5
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,Asian/Pacific Islander,0.5,0.1
Entire Network,FluSurv-NET,2021-22,2021,50,Overall,Overall,American Indian/Alaska Native,2.5,0
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,American Indian/Alaska Native,3.4,1
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Male,Overall,2.4,0.7
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,Asian/Pacific Islander,0.8,0.3
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,Hispanic/Latino,2,0.6
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,Black,3.9,1
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,White,2.1,0.7
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Overall,Overall,2.4,0.7
Entire Network,FluSurv-NET,2021-22,2021,51,Overall,Female,Overall,2.5,0.8
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,American Indian/Alaska Native,5.4,2
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Male,Overall,3.4,1
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,Overall,3.4,1
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Female,Overall,3.5,0.9
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,White,3,0.9
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,Black,4.9,1
Entire Network,FluSurv-NET,2021-22,2021,52,Overall,Overall,Hispanic/Latino,3,1
